"Series","SMILES","DockScore","MolWt","logP","NumHBD","NumHBA"
"A11","c1ccc2c(c1)nc([nH]2)c1ccc(cc1)Cl",-8.1,228.0454,3.8833,1,2
"E3","COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC",-8.1,383.0751,2.8843,1,7
"H5","c1ccc2c(c1)[nH]c(n2)c1cccc(n1)Cl",-8.1,229.0407,3.2783,1,3
"E2","CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC",-8,359.1304,2.9894,1,6
"E4","CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O",-7.9,440.1597,4.0286,2,9
"H3","c1(ccc2c(c1)[nH]c(n2)c1ccccn1)Cl",-7.9,229.0407,3.2783,1,3
"H4","c1(ccc2c(c1)[nH]c(n2)c1ccccn1)Br",-7.9,272.9902,3.3874,1,3
"H6","c1ccc2c(c1)[nH]c(n2)c1cccc(n1)Br",-7.9,272.9902,3.3874,1,3
"H17","c1ccc2c(c1)NC(N2)(c1nc(ccc1)F)N",-7.9,230.0968,1.8273,4,4
"S9","COC(=O)NC1=NC2=C(N1)C=C(PC(C)C)C=C2",-7.9,265.098,2.4534,2,5
"H7","C1C=CNC(=C1)c1nc2ccccc2[nH]1",-7.8,197.0953,2.4108,2,3
"H8","c1(ccc2c(c1)[nH]c(n2)c1ccccn1)F",-7.8,213.0702,2.764,1,3
"H2","c1ccc2c(c1)[nH]c(n2)c1ncccc1",-7.7,195.0796,2.6249,1,3
"H33","c1nc2c([nH]1)cnc(/C(=c\1/nc[nH][nH]1)/C)c2",-7.7,214.0967,0.7825,3,6
"S5","CCCSC1=CC2=C(C=C1)P=C(NC(=O)OC)N2",-7.6,282.0592,4.4284,2,4
"S14","CCCOC1=CC2=C(C=C1)N=C(NC(=O)OCl)N2",-7.6,269.0567,3.054,2,6
"S17","CCCOC1=CC2=C(C=C1)N=C(NC(=O)OBr)N2",-7.6,313.0062,3.2101,2,6
"N/A","CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC",-7.5,249.1113,2.53,2,6
"N/A","CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC",-7.5,265.0885,3.2433,2,5
"H18","c1c(cc2c(c1)nc([nH]2)O)c1c[nH]cc1",-7.4,199.0746,2.2636,3,4
"N/A","CC(C)SC1=CC2=C(C=C1)N=C(N2)NC(=O)OC",-7.4,265.0885,3.2417,2,5
"A8","C1[C@@H]2[C@@H](CCC1)N[C@@H](N2)[C@H]1CC[C@@H](CC1)P",-7.3,240.1755,2.2504,2,2
"H10","c1c(cc2c(c1)[nH]cn2)c1cocc1",-7.2,184.0637,2.8229,1,3
"H25","[C@@H]1(C=CSC=C1)c1cccc2c1nc[nH]2",-7.1,214.0565,3.4207,1,2
"A9","c1ccc2c(c1)NC(N2)O",-7,136.0637,0.7999,3,3
"H12","N1C=NC2=C1C=C1[C@H]3C=CO[C@H]3C1=C2",-7,184.0637,2.2451,1,3
"H19","c12c3c(c4c5c1n(cn2)N(n5cn4)O)[nH]cn3",-7,227.0556,0.4881,2,8
"H11","c1c(cc2c(c1)[nH]cn2)c1cscc1",-6.9,200.0408,3.2914,1,2
"H20","[C@@]12(C(=Cc3c(C1)nc[nH]3)O)C=CNCC2",-6.9,203.1059,1.3581,3,4
"H32","c1nc2c([nH]1)cnc1c(cnc[nH]c21)C",-6.9,199.0858,1.7725,2,5
"H22","c1nc2c([nH]1)c(nc(/C(=C/N=C/N)/C)c2)NC",-6.8,230.128,1.3474,4,6
"H30","c1nc2c([nH]1)cnc(/C(=C/N=C/N)/C=N)c2",-6.8,214.0967,0.9354,4,6
"H14","C1OC(C=C1)N1C=NC2=CC=CC=C12",-6.7,186.0793,2.1213,0,3
"H29","c1nc2c([nH]1)CN1C(=C2)/C(=C/N=C/N)/C1",-6.6,201.1014,0.4507,3,5
"H31","c1nc2c([nH]1)cnc(C1=C(/N=C/N)C1)c2",-6.4,199.0858,1.0597,3,5
"A7","c1cc2c(cc1)NC(N2)C(Cl)Cl",-6.1,202.0065,2.6538,2,2
"H1","c1ccc2c(c1)[nH]c(n2)N(C)C",-6,161.0953,1.6289,1,3
